Dataset,CandidateSet,Method,NDCG@20,Recall@20,DeltaVsBase,HarmRate,GHR,CostVsDirect,UCR,WeightedUCR,ProfileDrift,Top20OverlapVsBase,MeanAbsRankShift,UtilityNorm,CostNorm,HarmNorm,DisruptionNorm,ShiftNorm,GroundingRiskNorm,PreferenceProfile,UtilityWeight,CostWeight,HarmWeight,DisruptionWeight,GroundingWeight,ALISScore
ML-1M,top-50,Base,0.024855910425728274,0.0655,0.0,0.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.0
ML-1M,top-50,Direct,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.0,0.5152,12.902,1.0,1.0,1.0,0.4848,1.0,0.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.955152
ML-1M,top-50,Raw Profile,0.02780546785623266,0.0695,0.0029495574305043876,0.035,1.4209421095844699,0.44609124551503865,0.1226730310262529,0.1226730310262529,0.2400589887947498,0.699425,9.461450000000001,0.4652178862553668,0.44609124551503865,0.9722222222222224,0.30057500000000004,0.7333320415439468,1.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.42384586690062165
ML-1M,top-50,Remove Repair,0.02780546785623266,0.0695,0.0029495574305043876,0.035,1.4209421095844699,0.44609124551503865,0.0,0.0,0.2268809541967034,0.6994499999999999,9.464825000000001,0.4652178862553668,0.44609124551503865,0.9722222222222224,0.3005500000000001,0.7335936288947451,0.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.43384611690062164
ML-1M,top-50,EGPR,0.02798493013171209,0.0695,0.003129019705983817,0.0355,1.444589033106605,0.44609124551503865,0.1226730310262529,0.0086915026155217,0.2257472429415396,0.69875,9.4788,0.49352350919312443,0.44609124551503865,0.986111111111111,0.30125,0.7346767942954581,0.07085096490084815,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.46115845241159303
Yelp,top-100,Base,0.015520207835529926,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22985714388191034,0.0,0.0,0.0,0.0,0.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.22985714388191034
Yelp,top-100,Direct,0.01520986510127736,0.036,-0.00031034273425256664,0.016,0.9422631447077926,1.0,0.0,0.0,0.0,0.6053,4.195716082283728,0.0,1.0,0.8,0.39470000000000005,0.9569077297464431,0.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,-0.039947
Yelp,top-100,Raw Profile,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.4691203250060023,0.08941294530858003,0.08941294530858003,0.6570838845025093,0.6277,4.326051128201863,1.0,0.4691203250060023,0.95,0.37229999999999996,0.9866329567279686,1.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.9578945934998799
Yelp,top-100,Remove Repair,0.016006324127967902,0.036,0.0004861162924379766,0.019,1.109858171597217,0.4691203250060023,0.0,0.0,0.653331705618435,0.6249000000000001,4.347545483682984,0.5899019918573795,0.4691203250060023,0.95,0.3750999999999999,0.9915351270613356,0.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.5577685853572595
Yelp,top-100,EGPR,0.015245377250613111,0.033,-0.00027483058491681485,0.02,0.9472644322235718,0.4691203250060023,0.08941294530858003,0.011044725933980688,0.643282369368922,0.62295,4.384661082626524,0.026302279120801676,0.4691203250060023,1.0,0.37705,1.0,0.12352490901472228,accuracy_first,1.0,0.02,0.02,0.01,0.01,-0.008085876469465597
Amazon Books,top-100,Base,0.004263432588494831,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3082836894745105,0.0,0.0,0.0,0.0,0.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.3082836894745105
Amazon Books,top-100,Direct,0.003946263708880223,0.012,-0.0003171688796146082,0.007,0.8460792793711659,1.0,0.0,0.0,0.0,0.65565,4.2391992751357686,0.0,1.0,1.0,0.34435000000000004,1.0,0.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,-0.0434435
Amazon Books,top-100,Raw Profile,0.004863618540465494,0.012,0.0006001859519706625,0.005,2.872237420065292,0.5652084448694785,0.3479951397326853,0.3479951397326853,0.8364641948165534,0.81865,2.7285206713565073,0.8916559921705194,0.5652084448694785,0.7142857142857143,0.18135,0.643640577917659,1.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.8542526089874155
Amazon Books,top-100,Remove Repair,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.5652084448694785,0.0,0.0,0.8267324543623363,0.9104500000000001,1.5241354550592168,1.0,0.5652084448694785,0.2857142857142857,0.08954999999999991,0.3595338072448607,0.0,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.9820860453883247
Amazon Books,top-100,EGPR,0.004812472375885085,0.011,0.000549039787390254,0.005,1.9622629075301423,0.5652084448694785,0.3479951397326853,0.12787291027678319,0.8178238244786988,0.8178,2.772396263566155,0.8419426396547304,0.5652084448694785,0.7142857142857143,0.18220000000000003,0.6539905495424874,0.3674560235956444,accuracy_first,1.0,0.02,0.02,0.01,0.01,0.8108561962356701
ML-1M,top-50,Base,0.024855910425728274,0.0655,0.0,0.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balanced,1.0,0.15,0.15,0.1,0.1,0.0
ML-1M,top-50,Direct,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.0,0.5152,12.902,1.0,1.0,1.0,0.4848,1.0,0.0,balanced,1.0,0.15,0.15,0.1,0.1,0.65152
ML-1M,top-50,Raw Profile,0.02780546785623266,0.0695,0.0029495574305043876,0.035,1.4209421095844699,0.44609124551503865,0.1226730310262529,0.1226730310262529,0.2400589887947498,0.699425,9.461450000000001,0.4652178862553668,0.44609124551503865,0.9722222222222224,0.30057500000000004,0.7333320415439468,1.0,balanced,1.0,0.15,0.15,0.1,0.1,0.12241336609477763
ML-1M,top-50,Remove Repair,0.02780546785623266,0.0695,0.0029495574305043876,0.035,1.4209421095844699,0.44609124551503865,0.0,0.0,0.2268809541967034,0.6994499999999999,9.464825000000001,0.4652178862553668,0.44609124551503865,0.9722222222222224,0.3005500000000001,0.7335936288947451,0.0,balanced,1.0,0.15,0.15,0.1,0.1,0.22241586609477765
ML-1M,top-50,EGPR,0.02798493013171209,0.0695,0.003129019705983817,0.0355,1.444589033106605,0.44609124551503865,0.1226730310262529,0.0086915026155217,0.2257472429415396,0.69875,9.4788,0.49352350919312443,0.44609124551503865,0.986111111111111,0.30125,0.7346767942954581,0.07085096490084815,balanced,1.0,0.15,0.15,0.1,0.1,0.24148305920911717
Yelp,top-100,Base,0.015520207835529926,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22985714388191034,0.0,0.0,0.0,0.0,0.0,balanced,1.0,0.15,0.15,0.1,0.1,0.22985714388191034
Yelp,top-100,Direct,0.01520986510127736,0.036,-0.00031034273425256664,0.016,0.9422631447077926,1.0,0.0,0.0,0.0,0.6053,4.195716082283728,0.0,1.0,0.8,0.39470000000000005,0.9569077297464431,0.0,balanced,1.0,0.15,0.15,0.1,0.1,-0.30947
Yelp,top-100,Raw Profile,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.4691203250060023,0.08941294530858003,0.08941294530858003,0.6570838845025093,0.6277,4.326051128201863,1.0,0.4691203250060023,0.95,0.37229999999999996,0.9866329567279686,1.0,balanced,1.0,0.15,0.15,0.1,0.1,0.6499019512490998
Yelp,top-100,Remove Repair,0.016006324127967902,0.036,0.0004861162924379766,0.019,1.109858171597217,0.4691203250060023,0.0,0.0,0.653331705618435,0.6249000000000001,4.347545483682984,0.5899019918573795,0.4691203250060023,0.95,0.3750999999999999,0.9915351270613356,0.0,balanced,1.0,0.15,0.15,0.1,0.1,0.3395239431064792
Yelp,top-100,EGPR,0.015245377250613111,0.033,-0.00027483058491681485,0.02,0.9472644322235718,0.4691203250060023,0.08941294530858003,0.011044725933980688,0.643282369368922,0.62295,4.384661082626524,0.026302279120801676,0.4691203250060023,1.0,0.37705,1.0,0.12352490901472228,balanced,1.0,0.15,0.15,0.1,0.1,-0.2441232605315709
Amazon Books,top-100,Base,0.004263432588494831,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3082836894745105,0.0,0.0,0.0,0.0,0.0,balanced,1.0,0.15,0.15,0.1,0.1,0.3082836894745105
Amazon Books,top-100,Direct,0.003946263708880223,0.012,-0.0003171688796146082,0.007,0.8460792793711659,1.0,0.0,0.0,0.0,0.65565,4.2391992751357686,0.0,1.0,1.0,0.34435000000000004,1.0,0.0,balanced,1.0,0.15,0.15,0.1,0.1,-0.334435
Amazon Books,top-100,Raw Profile,0.004863618540465494,0.012,0.0006001859519706625,0.005,2.872237420065292,0.5652084448694785,0.3479951397326853,0.3479951397326853,0.8364641948165534,0.81865,2.7285206713565073,0.8916559921705194,0.5652084448694785,0.7142857142857143,0.18135,0.643640577917659,1.0,balanced,1.0,0.15,0.15,0.1,0.1,0.5815968682972406
Amazon Books,top-100,Remove Repair,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.5652084448694785,0.0,0.0,0.8267324543623363,0.9104500000000001,1.5241354550592168,1.0,0.5652084448694785,0.2857142857142857,0.08954999999999991,0.3595338072448607,0.0,balanced,1.0,0.15,0.15,0.1,0.1,0.8634065904124355
Amazon Books,top-100,EGPR,0.004812472375885085,0.011,0.000549039787390254,0.005,1.9622629075301423,0.5652084448694785,0.3479951397326853,0.12787291027678319,0.8178238244786988,0.8178,2.772396263566155,0.8419426396547304,0.5652084448694785,0.7142857142857143,0.18220000000000003,0.6539905495424874,0.3674560235956444,balanced,1.0,0.15,0.15,0.1,0.1,0.595052913421887
ML-1M,top-50,Base,0.024855910425728274,0.0655,0.0,0.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safety_first,0.7,0.1,0.35,0.15,0.35,0.0
ML-1M,top-50,Direct,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.0,0.5152,12.902,1.0,1.0,1.0,0.4848,1.0,0.0,safety_first,0.7,0.1,0.35,0.15,0.35,0.17728
ML-1M,top-50,Raw Profile,0.02780546785623266,0.0695,0.0029495574305043876,0.035,1.4209421095844699,0.44609124551503865,0.1226730310262529,0.1226730310262529,0.2400589887947498,0.699425,9.461450000000001,0.4652178862553668,0.44609124551503865,0.9722222222222224,0.30057500000000004,0.7333320415439468,1.0,safety_first,0.7,0.1,0.35,0.15,0.35,-0.4543206319505249
ML-1M,top-50,Remove Repair,0.02780546785623266,0.0695,0.0029495574305043876,0.035,1.4209421095844699,0.44609124551503865,0.0,0.0,0.2268809541967034,0.6994499999999999,9.464825000000001,0.4652178862553668,0.44609124551503865,0.9722222222222224,0.3005500000000001,0.7335936288947451,0.0,safety_first,0.7,0.1,0.35,0.15,0.35,-0.10431688195052495
ML-1M,top-50,EGPR,0.02798493013171209,0.0695,0.003129019705983817,0.0355,1.444589033106605,0.44609124551503865,0.1226730310262529,0.0086915026155217,0.2257472429415396,0.69875,9.4788,0.49352350919312443,0.44609124551503865,0.986111111111111,0.30125,0.7346767942954581,0.07085096490084815,safety_first,0.7,0.1,0.35,0.15,0.35,-0.11426689472050243
Yelp,top-100,Base,0.015520207835529926,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22985714388191034,0.0,0.0,0.0,0.0,0.0,safety_first,0.7,0.1,0.35,0.15,0.35,0.16090000071733723
Yelp,top-100,Direct,0.01520986510127736,0.036,-0.00031034273425256664,0.016,0.9422631447077926,1.0,0.0,0.0,0.0,0.6053,4.195716082283728,0.0,1.0,0.8,0.39470000000000005,0.9569077297464431,0.0,safety_first,0.7,0.1,0.35,0.15,0.35,-0.439205
Yelp,top-100,Raw Profile,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.4691203250060023,0.08941294530858003,0.08941294530858003,0.6570838845025093,0.6277,4.326051128201863,1.0,0.4691203250060023,0.95,0.37229999999999996,0.9866329567279686,1.0,safety_first,0.7,0.1,0.35,0.15,0.35,-0.08525703250060024
